ID,Clee,Nombre de la Unidad EconÛmica,RazÛn social,CÛdigo de la clase de actividad SCIAN,Nombre de clase de la actividad,Descripcion estrato personal ocupado,Tipo de vialidad,Nombre de la vialidad,Tipo de entre vialidad 1,Nombre de entre vialidad 1,Tipo de entre vialidad 2,Nombre de entre vialidad 2,Tipo de entre vialidad 3,Nombre de entre vialidad 3,N˙mero exterior o kilÛmetro,Letra exterior,Edificio,Edificio Piso,N˙mero interior,Letra interior,Tipo de asentamiento humano,Nombre de asentamiento humano,Tipo centro comercial,"Corredor industrial, centro comercial o mercado p˙blico",N˙mero de local,CÛdigo Postal,Clave entidad,Entidad federativa,Clave municipio,Municipio,Clave localidad,Localidad,¡rea geoestadÌstica b·sica ,Manzana,N˙mero de telÈfono,Correo electrÛnico,Sitio en Internet,Tipo de establecimiento,Latitud,Longitud,Fecha de incorporaciÛn al DENUE
10095905,24028611161000771000000000U0,CENTRO EDUCATIVO FUNDADORES,,611161,Escuelas de educaciÛn media superior del sector privado,0 a 5 personas,CALLE,7,AVENIDA,VASCO DE QUIROGA,CALLE,PASAJE V,PRIVADA,8,311,,,,,,COLONIA,INDUSTRIAL AVIACION,,,,78140,24,SAN LUIS POTOSÕ        ,28,San Luis PotosÌ,1,San Luis PotosÌ,187,28,,,,Fijo,22.17203614,-100.999406,2024-11
9511523,24028611162000541000000000U5,CENTRO POTOSINO DE EVALUACION Y ESTUDIOS AVANZADOS,SEEGE ,611162,Escuelas de educaciÛn media superior del sector p˙blico,0 a 5 personas,CALLE,LA LONJA,CALLE,HEROES POTOSINOS,CALLE,LEON GARCIA,CALLE,REPUBLICA,600,,,,,,COLONIA,NI—OS HEROES,,,,78340,24,SAN LUIS POTOSÕ        ,28,San Luis PotosÌ,1,San Luis PotosÌ,1293,33,,,,Fijo,22.13533698,-100.9762719,2024-11
7463170,24028611162000481000000000U4,CENTRO PROFESIONAL DE EDUCACION MEDIA SUPERIOR,,611162,Escuelas de educaciÛn media superior del sector p˙blico,0 a 5 personas,AVENIDA,SALK,CALLE,LATERAL SALVADOR NAVA MARTINEZ,CALLE,MORSE,AVENIDA,SALK,27,,,,0,,FRACCIONAMIENTO,VALLE DEL POTOSI,,,,78379,24,SAN LUIS POTOSÕ        ,28,San Luis PotosÌ,1,San Luis PotosÌ,3355,26,4444241184,DIRECCION.SLP@CPMS.EDU.MX,WWW.CPEMS.EDU.MX,Fijo,22.13409743,-100.9578764,2019-11
6475179,24035611161000046000000000U2,COBACH 01,COLEGIO DE BACHILLERES 01 SAN LUIS POTOSI ,611162,Escuelas de educaciÛn media superior del sector p˙blico,51 a 100 personas,CALLE,LAUREL,CALLE,CALLE DE LA ROSA,CALLE,ALAMOS,AVENIDA,PARQUE AGUA AZUL,455,,,,0,,FRACCIONAMIENTO,COLINAS DEL BOSQUE,,,,78438,24,SAN LUIS POTOSÕ        ,35,Soledad de Graciano S·nchez,1,Soledad de Graciano S·nchez,1029,4,4448165545,PLANTEL01@CBSLP.EDU.MX,,Fijo,22.14719065,-100.9213543,2016-01
6472295,24028611161000385001000000U9,COBACH COLEGIO DE BACHILLERES PLANTEL 26 HALCONES,COLEGIO DE BACHILLERES DEL ESTADO DE SAN LUIS POTOSI ,611162,Escuelas de educaciÛn media superior del sector p˙blico,101 a 250 personas,CARRETERA,A GUADALAJARA,CALLE,CALLE DEL PLATANITO,OTRO(ESPECIFIQUE),MANZANA O EDIFICACION CONTIGUA,CIRCUITO,MIRASIERRA,2000,,,,,,COLONIA,LOMAS DEL TECNOLOGICO,,,,78218,24,SAN LUIS POTOSÕ        ,28,San Luis PotosÌ,1,San Luis PotosÌ,343A,36,4448254061,PLANTEL26@CBSLP.EDU.MX,CBSLP.EDU.MX,Fijo,22.12980525,-101.0376864,2016-01
3667291,24035611162000011000000000U4,COLEGIO DE BACHILLERES PLANTEL 17,COLEGIO DE BACHILLERES DE SAN LUIS POTOSI ,611162,Escuelas de educaciÛn media superior del sector p˙blico,51 a 100 personas,ANDADOR,ANDADOR DE LA LAVA,CALLE,CALLE DEL VOLCAN,CALLE,ITURBIDE,AVENIDA,AVENIDA DEL AGUA,0,SN,,,0,,COLONIA,RANCHO PAVON,,,,78430,24,SAN LUIS POTOSÕ        ,35,Soledad de Graciano S·nchez,1,Soledad de Graciano S·nchez,764,40,4448310780,,,Fijo,22.17673745,-100.9506202,2010-07
3751302,24028611162000225000000000U5,COLEGIO DE BACHILLERES PLANTEL 19,COLEGIO DE BACHILLERES DEL ESTADO DE SAN LUIS POTOSI ,611162,Escuelas de educaciÛn media superior del sector p˙blico,51 a 100 personas,CALLE,FELIPE ANGELES,CALLE,SAUCITO,PRIVADA,FELIPE ANGELES,CALLE,PITAHAYAS,0,SN,,,,,COLONIA,EL SAUCITO,,,,78110,24,SAN LUIS POTOSÕ        ,28,San Luis PotosÌ,1,San Luis PotosÌ,1359,28,4448230108,PLANTEL19@CVSLP.EDU.MX,,Fijo,22.18537771,-100.9967615,2010-07
3678876,24028611162000103001000000U4,COLEGIO DE BACHILLERES PLANTEL NUMERO 25,SECRETARIA DE EDUCACION DE GOBIERNO DEL ESTADO SEGE ,611162,Escuelas de educaciÛn media superior del sector p˙blico,51 a 100 personas,CALLE,REPUBLICA DE EL SALVADOR,AVENIDA,SIMON DIAZ,CALLE,AMERICA DEL SUR,CALLE,REPUBLICA DE URUGUAY,250,,,,0,,COLONIA,SATELITE,,,,78380,24,SAN LUIS POTOSÕ        ,28,San Luis PotosÌ,1,San Luis PotosÌ,863,10,4444759551,PLANTEL25@CBSLP.EDU.MX,WWW.CBSLP.EDU.MX,Fijo,22.11444813,-100.9549814,2010-07
3671838,24028611162000265000000000U1,COLEGIO DE BACHILLERES PLANTEL NUMERO 28 SAN LUIS V,GOBIERNO DEL ESTADO DE SAN LUIS POPTOSI ,611162,Escuelas de educaciÛn media superior del sector p˙blico,51 a 100 personas,CALLE,CONCEPCION MACIAS,CALLE,GUADALUPE VAZQUEZ CASTILLO,CALLE,PEDRO VALLEJO,CALLE,SARA RIVERA,500,,,,,,COLONIA,GRACIANO SANCHEZ,,,,78360,24,SAN LUIS POTOSÕ        ,28,San Luis PotosÌ,1,San Luis PotosÌ,793,23,,PLANTEL28@CBSLP.EDU.MX,WWW.CVSLP.EDU.MX,Fijo,22.12727329,-100.9785161,2010-07
3708191,24028611161000451000000000S9,COLEGIO DE EDUCACION MEDIA SUPERIOR ABIERTA,,611161,Escuelas de educaciÛn media superior del sector privado,0 a 5 personas,CALLE,LOMA DORADA,CALLE,CERRO VIEJO,CALLE,CERRO ALTO,CALLE,LOMA DORADA,505,A,,,304,,COLONIA,LOMA VERDE,,,,78214,24,SAN LUIS POTOSÕ        ,28,San Luis PotosÌ,1,San Luis PotosÌ,3622,13,,CEMSA@CEMSA.EDU.MX,WWW.CEMSA.EDU.MX,Fijo,22.1342488,-101.0286078,2014-12
7981347,24028611161000691000000000U0,COLEGIO DE EDUCACION MEDIA SUPERIOR ABIERTO,,611161,Escuelas de educaciÛn media superior del sector privado,0 a 5 personas,CALLE,GENERAL MARIANO ARISTA,CALLE,TOMASA ESTEVES,CALLE,GENERAL ROCHA,AVENIDA,VENUSTIANO CARRANZA,817,,,,0,,BARRIO,TEQUISQUIAPAN,,,,78230,24,SAN LUIS POTOSÕ        ,28,San Luis PotosÌ,1,San Luis PotosÌ,1984,23,,DE.GENERAL.CEMSA@GMAIL.COM,WWW.CEMSA.EDU.MX,Fijo,22.15169741,-100.9862338,2019-11
9068288,24028611162000505000000000U0,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DE SAN LUIS POTOSI,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DE SAN LUIS POTOSI ,611162,Escuelas de educaciÛn media superior del sector p˙blico,51 a 100 personas,CALLE,ALBERTO COSSIO,AVENIDA,JESUS GOYTORTUA,CALLE,JOSE MARIA FLORES VERDAD,CALLE,ANTONIO DE LA LUZ G.,105,,EDIFICIO,PISO 2,13,,FRACCIONAMIENTO,TANGAMANGA,EDIFICIO COMERCIAL Y DE SERVICIOS,MW,15,78269,24,SAN LUIS POTOSÕ        ,28,San Luis PotosÌ,1,San Luis PotosÌ,2164,15,,,WWW.CECITESLP.EDU.MX,Fijo,22.14053574,-100.9984992,2019-11
3672647,24028611312000206000000000U6,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADON PLANTEL 2,COLEGIO DE ESTUDIOS TECNOLOGICOS Y CIENTIFICOS DEL ESTADO DE SAN LUIS POTOS ,611162,Escuelas de educaciÛn media superior del sector p˙blico,101 a 250 personas,AVENIDA,REAL SAN PEDRO,CALLE,LISBOA,CALLE,ESPA—A,CALLE,REAL DEL MONTE,0,SN,,,0,,FRACCIONAMIENTO,MINAS DEL REAL,,,,78396,24,SAN LUIS POTOSÕ        ,28,San Luis PotosÌ,1,San Luis PotosÌ,329A,2,,TERE.FLORES@CECYTESLP.EDU.MX,WWW.CECYTESLP.EDU.MX,Fijo,22.13735021,-100.9316495,2010-07
11130581,24028611161000782000000000U7,COLEGIO SAN LUIS REY DE FRANCIA,UNIVERSIDAD POTOSINA SC,611161,Escuelas de educaciÛn media superior del sector privado,6 a 10 personas,AVENIDA,VENUSTIANO CARRANZA,CALLE,URESTI,CALLE,TOMASA ESTEVES,CALLE,GENERAL MARIANO ARISTA,726,,,,,,COLONIA,TEQUISQUIAPAN,,,,78250,24,SAN LUIS POTOSÕ        ,28,San Luis PotosÌ,1,San Luis PotosÌ,197A,16,,,,Fijo,22.15099555,-100.9831496,2024-11
3734673,24028611131000011000000000U4,COLEGIO VASCONCELOS,,611161,Escuelas de educaciÛn media superior del sector privado,0 a 5 personas,AVENIDA,REFORMA,CALLE,IGNACIO ALLENDE,AVENIDA,DAMIAN CARMONA,CALLE,SAN LUIS,705,,,,0,PLANTA ALTA,COLONIA,CENTRO,,,,78000,24,SAN LUIS POTOSÕ        ,28,San Luis PotosÌ,1,San Luis PotosÌ,037A,6,4441680129,COLEGIOJBC02@HOTMAIL.COM,,Fijo,22.15691763,-100.9787116,2010-07
9939561,24028611161000791000000000U8,COLEGTDE ARQUITECTOS NUEVO MILENIO AC CANMAC,COLEGIO DE ARQUITECTOS NUEVO MILENIO AC,611161,Escuelas de educaciÛn media superior del sector privado,0 a 5 personas,CALLE,SIMON DIAZ,CALLE,NINGUNO,CALLE,REFORMA AGRARIA,CALLE,PROTECCION A LA INFANCIA,570,,EDIFICIO SIN NOMBRE,PISO 1,,,BARRIO,SAN JUAN DE GUADALUPE,EDIFICIO COMERCIAL Y DE SERVICIOS,EDIFICIO COMERCIAL Y DE SERVICIOS SIN NOMBRE,SN,78340,24,SAN LUIS POTOSÕ        ,28,San Luis PotosÌ,1,San Luis PotosÌ,1293,38,,CANMACSLP@AUTLOOKMAIL.COM,,Fijo,22.13181555,-100.9679975,2024-11
3676178,24035611152000036001000000U2,CONALEP,COLEGIO DE EDUCACION PROFESIONAL TECNICA DEL ESTADO ,611162,Escuelas de educaciÛn media superior del sector p˙blico,51 a 100 personas,AVENIDA,PARQUE AGUA AZUL,CALLE,ALAMOS,CALLE,CRISANTEMO,CALLE,NINGUNO,1501,,,,,,FRACCIONAMIENTO,COLINAS DEL BOSQUE,,,,78438,24,SAN LUIS POTOSÕ        ,35,Soledad de Graciano S·nchez,1,Soledad de Graciano S·nchez,1029,1,4448211169,SLP205@SLP.CONALEP.EDU.MX,,Fijo,22.14702404,-100.9195148,2014-12
3686017,24028611161000396000000000U6,CONALEP INGENIERO MANUEL MORENO TORRES,SECRETARIA DE EDUCACION PUBLICA ,611162,Escuelas de educaciÛn media superior del sector p˙blico,101 a 250 personas,AVENIDA,PROMOCION,CALLE,EJE 118,AVENIDA,PLANEACION,CALLE,SINDICATO,0,SN,,,,,COLONIA,INDUSTRIAL SAN LUIS,,,,78395,24,SAN LUIS POTOSÕ        ,28,San Luis PotosÌ,1,San Luis PotosÌ,1109,5,,IMMTO43@SLP.CONALEP.EDU.MX,WWW.CONALEPSLP.COM.MX,Fijo,22.10324426,-100.9069836,2010-07
3683146,24028611171000871001076194M7,EDUCANDONOS SABEMOS MAS,EDUCANDONOS SABEMOS MAS SC,611161,Escuelas de educaciÛn media superior del sector privado,6 a 10 personas,CALLE,LERDO DE TEJADA,CALLE,MARIANO ABASOLO,AVENIDA,UNIVERSIDAD,CALLE,JOSE MARIA MORELOS Y PAVON,130,,,,0,,COLONIA,CENTRO,,,,78000,24,SAN LUIS POTOSÕ        ,28,San Luis PotosÌ,1,San Luis PotosÌ,488,24,4445490411,EDUMAS_SLP@HOTMAIL.COM,WWW.EDUMAS.EDU.MX,Fijo,22.14990631,-100.973147,2010-07
7981161,24028611151000102000000000U9,EDUCATIVO TECNOLOGICO EMETA,,611161,Escuelas de educaciÛn media superior del sector privado,0 a 5 personas,CALLE,CARLOS DIEZ GUTIERREZ,CALLE,PROFESOR PEDRO VALLEJO,CALLE,5 DE MAYO,CALLE,PRIMERA DE MASCORRO,1090,,,,0,,BARRIO,SAN MIGUELITO,,,,78339,24,SAN LUIS POTOSÕ        ,28,San Luis PotosÌ,1,San Luis PotosÌ,609,9,,,WWW.EMETA.EDU.MX,Fijo,22.13943026,-100.9739232,2019-11
7966133,24028611151000091000000000U4,ESCUELA MEXICANA DE CONFITERIA Y CHOCOLATERIA,ESCUELA MEXICANA DE CONFITERIA Y CHOCOLATERIA SA DE CV,611151,Escuelas de educaciÛn media tÈcnica terminal del sector privado,0 a 5 personas,CALLE,MELCHOR OCAMPO,CALLE,BENIGNO ARRIAGA,PRIVADA,PRIMERA MELCHOR OCAMPO,AVENIDA,CUAUHTEMOC,926,,,,0,,BARRIO,TEQUISQUIAPAN,,,,78250,24,SAN LUIS POTOSÕ        ,28,San Luis PotosÌ,1,San Luis PotosÌ,473,25,4445373841,EMCC030165@GMAIL.COM,WWW.CONFITERIAYCHOCOLATERIAMEXICANA.COM.MX,Fijo,22.14749303,-100.9879032,2019-11
3688053,24028611162000204000000000U0,ESCUELA PREPARATORIA COOPERATIVA PRFR JESUS R ALDERETE,SEER ,611162,Escuelas de educaciÛn media superior del sector p˙blico,51 a 100 personas,CALLE,AGUSTIN MELGAR,CALLE,PROFESOR PEDRO VALLEJO,CALLE,5 DE MAYO,CALLE,CARLOS DIEZ GUTIERREZ,300,,,,0,,BARRIO,SAN MIGUELITO,,,,78339,24,SAN LUIS POTOSÕ        ,28,San Luis PotosÌ,1,San Luis PotosÌ,609,1,,PREP_ALDERETE@HOTMAIL.COM,,Fijo,22.13861161,-100.974094,2010-07
3740209,24028611162000306000000000U3,ESCUELA PREPARATORIA FRANCISCO MARTINEZ DE LA VEGA,SISTEMA EDUCATIVO ESTATAL REGULAR ,611162,Escuelas de educaciÛn media superior del sector p˙blico,31 a 50 personas,CALLE,PLAN DE SAN LUIS,CALLE,JUAN ALVAREZ,CALLE,CICLON,AVENIDA,DAMIAN CARMONA,207,,,,0,,COLONIA,BARRIO DE SANTIAGO,,,,78049,24,SAN LUIS POTOSÕ        ,28,San Luis PotosÌ,1,San Luis PotosÌ,261,5,4448121871,PREPARATORIA-FMV@HOTMAIL.COM,,Fijo,22.16514152,-100.9789891,2010-07
3740725,24028611162000255000000000U2,ESCUELA PREPARATORIA J NATIVIDAD SANCHEZ,GOBIERNO DEL ESTADO DE SAN LUIS POTOSI ,611162,Escuelas de educaciÛn media superior del sector p˙blico,11 a 30 personas,CALLE,EJE VIAL PONCIANO ARRIAGA,CALLE,CICLON,CALLE,JUAN ALVAREZ,CALLE,MOCTEZUMA,605,,,,0,,COLONIA,BARRIO DE TLAXCALA,,,,78038,24,SAN LUIS POTOSÕ        ,28,San Luis PotosÌ,1,San Luis PotosÌ,280,7,,JNATIVIDADS@HOTMAIL.COM,,Fijo,22.1653115,-100.9746161,2010-07
3668520,24028611162000063001000000U0,ESCUELA PREPARATORIA JOSE CESAR CRUZ SANDOVAL 24SBC0026L,GOBIERNO ESTATAL ,611162,Escuelas de educaciÛn media superior del sector p˙blico,51 a 100 personas,CALLE,VALENTINOS,CALLE,PASEO DEL CANAL,CALLE,PASEO DE LOS DERECHOS HUMANOS,AVENIDA,SIERRA LEONA,1,,,,0,,COLONIA,LOMAS DE LOS FILTROS,,,,78219,24,SAN LUIS POTOSÕ        ,28,San Luis PotosÌ,1,San Luis PotosÌ,2094,44,4448135177,JCCS_SEER@HOTMAIL.COM,,Fijo,22.1502978,-101.0222194,2014-12
3673432,24028611162000164000000000U6,ESCUELA PREPARATORIA JOSE JUAREZ BARBOSA,SECRETARIA DE EDUCACION DEL GOBIERNO DEL ESTADO ,611162,Escuelas de educaciÛn media superior del sector p˙blico,31 a 50 personas,CALLE,BURGOS,CALLE,TURQUESA,CALLE,GRANADA,AVENIDA,ESTRELLA,150,B,,,0,SN,FRACCIONAMIENTO,DEL LLANO,,,,78377,24,SAN LUIS POTOSÕ        ,28,San Luis PotosÌ,1,San Luis PotosÌ,2291,1,4448163894,PREP.JJB@HOTMAIL.COM,,Fijo,22.13426321,-100.9482182,2010-07
3675914,24028611162000011001000000U9,ESCUELA PREPARATORIA JOSE MARIANO JIMENEZ,GOBIERNO DEL ESTADO ,611162,Escuelas de educaciÛn media superior del sector p˙blico,6 a 10 personas,CALLE,HIDALGO,CALLE,NINGUNO,CALLE,SEBASTIANICOLAS BRAVO,CALLE,SEBASTIANICOLAS BRAVO,130,,,,,,COLONIA,PLAZA 3 DE MAYO,,,,78000,24,SAN LUIS POTOSÕ        ,28,San Luis PotosÌ,252,Escalerillas,2751,16,4441805037,,,Fijo,22.1113215,-101.0770023,2010-07
7965784,24028611162000404000000000U6,ESCUELA PREPARATORIA JUAN GREGORIO SALINAS FUENTES,SISTEMA EDUCATIVO ESTATAL REGULAR ,611162,Escuelas de educaciÛn media superior del sector p˙blico,31 a 50 personas,CALLE,NINGUNO,CALLE,GOMEZ PEDRAZA,PRIVADA,NINGUNO,CALLE,MARIANO JIMENEZ,265,,,,0,,COLONIA,AZTECA NORTE,,,,78310,24,SAN LUIS POTOSÕ        ,28,San Luis PotosÌ,1,San Luis PotosÌ,399,10,,PREPAJUANGREGORIOSALINASF@OUTLOOK.COM,,Fijo,22.15399402,-100.9692981,2019-11
11185567,24028611162000552000000000U2,ESCUELA PREPARATORIA MIGUEL DE CERVANTES Y SAAVEDRA,ESCUELA PREPARATORIA MIGUEL DE CERVANTES Y SAAVEDRA ,611162,Escuelas de educaciÛn media superior del sector p˙blico,6 a 10 personas,CALLE,JAZMIN,CALLE,ORQUIDEA,CALLE,LIRIO,CALLE,AZUCENA,400,,,,,,COLONIA,LAS FLORES,,,,78109,24,SAN LUIS POTOSÕ        ,28,San Luis PotosÌ,1,San Luis PotosÌ,1787,14,4441305901,,,Fijo,22.20722121,-100.9883377,2024-11
3752120,24028611161000283000000000U6,ESCUELA PREPARATORIA MUNICIPAL EL SAUCITO,MUNICIPIO DE SAN LUIS POTOSI ,611162,Escuelas de educaciÛn media superior del sector p˙blico,11 a 30 personas,CALLE,PLAN DE AYUTLA DE 1854,OTRO(ESPECIFIQUE),NINGUNO,OTRO(ESPECIFIQUE),NINGUNO,OTRO(ESPECIFIQUE),NINGUNO,125,,,,,,COLONIA,EL SAUCITO,,,,78110,24,SAN LUIS POTOSÕ        ,28,San Luis PotosÌ,1,San Luis PotosÌ,1880,8,,PREPASAUCITO@GMAIL.COM,,Fijo,22.18288269,-101.0024118,2010-07
3685566,24028611162000032000000000U5,ESCUELA PREPARATORIA MUNICIPAL NUEVA GENERACION,SEGE GOBIERNO ,611162,Escuelas de educaciÛn media superior del sector p˙blico,11 a 30 personas,CALLE,PANFILO NATERA,CALLE,PANFILO NATERA,CALLE,VENUSTIANO CARRANZA,CALLE,NINGUNO,200,,,,,,COLONIA,EMILIANO ZAPATA,,,,78422,24,SAN LUIS POTOSÕ        ,28,San Luis PotosÌ,264,La Pila,2747,19,,PREPA_NUEVAGENERACIONLAPILA@OUTLOOK.COM,,Fijo,22.02825699,-100.8686095,2010-07
3689717,24028611162000154000000000U4,ESCUELA PREPARATORIA POR COOPERACION LIC ANTONIO ROCHA CORDERO,ESCUELA PREPARATORIA POR COOPERACION LIC ANTONIO ROCHA CORDERO ,611161,Escuelas de educaciÛn media superior del sector privado,11 a 30 personas,CALLE,XICOTENCATL,CALLE,FERNANDO ROSAS,CALLE,ZENON FERNANDEZ,CALLE,LEON GARCIA,605,,,,0,,BARRIO,SAN MIGUELITO,,,,78330,24,SAN LUIS POTOSÕ        ,28,San Luis PotosÌ,1,San Luis PotosÌ,558,24,,PARC08@HOTMAIL.COM,,Fijo,22.14254264,-100.977023,2010-07
